Filename,Organization,Industry
842974_E01238.pdf,China CITIC Bank International Limited,banking
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS39,real estate
842974_E01238.pdf,GroupZhoushan,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS9,real estate
842974_E01238.pdf,the PRC宿遷寶龍置業發展有限公司Suqian Powerlong Property Development Co.,real estate
842974_E01238.pdf,Bank of China,real estate
842974_E01238.pdf,the PRC諸暨潤龍置業有限公司Zhuji Runlong Property Development Co.,real estate
842974_E01238.pdf,operations上海洪誠實業發展（集團）有限公司Shanghai Hongcheng Industry Development (Group) Co.,real estate
842974_E01238.pdf,Research Team,real estate
842974_E01238.pdf,"Tusincere Technology City Investment Group Co., Ltd.",finance
842974_E01238.pdf,Audit Committee,real estate
842974_E01238.pdf,BUSINESS08Powerlong Real Estate Holdings,real estate
842974_E01238.pdf,"Shiyue Real Estate Co., Ltd.",real estate
842974_E01238.pdf,"year(5,495,197)(2,572,018)1,450,5627,196,3388,934,214",finance
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS30,real estate
842974_E01238.pdf,Anbao Real Estate Development Company Limited,real estate
842974_E01238.pdf,Finance,finance
842974_E01238.pdf,"the GroupTianjin Hongyao Decoration Engineering Co., Ltd.",real estate
842974_E01238.pdf,"the GroupQingdao Hailong Yilian Real Estate Co., Ltd.",real estate
842974_E01238.pdf,operations杭州龍耀實業有限公司Hangzhou,real estate
842974_E01238.pdf,China26Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,"Tianqu Real Estate Co., Ltd.",technology
842974_E01238.pdf,"Bank Co., Ltd.",banking
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS23 BORROWINGS (CONTINUED)(d,real estate
842974_E01238.pdf,HSBC,banking
842974_E01238.pdf,Hong Kong寶龍置地發展有限公司Powerlong Land Development,real estate
842974_E01238.pdf,EQUIPMENTLeasehold,real estate
842974_E01238.pdf,"loss9,373117,889Total",real estate
842974_E01238.pdf,HKAS 1Non,finance
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS7 INVESTMENT PROPERTIES,real estate
842974_E01238.pdf,Chengyuan Property Development Co.,real estate
842974_E01238.pdf,ANALYSISHotel BusinessThe Group,real estate
842974_E01238.pdf,the Plans and Measures,finance
842974_E01238.pdf,"services2,386,6942,267,433Income",real estate
842974_E01238.pdf,"Tusincere Technology City Investment Group Co., Ltd.",technology
842974_E01238.pdf,Xuxin Enterprise Management Co.,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS17,real estate
842974_E01238.pdf,Sincere Property Holding Group,technology
842974_E01238.pdf,Lanyu (Shanghai) Business Consulting Center,real estate
842974_E01238.pdf,"companyRMB61,477,200100%–Property",real estate
842974_E01238.pdf,Changeswith New Solutions,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS7,real estate
842974_E01238.pdf,Refine Operations,real estate
842974_E01238.pdf,Changshu Guli,real estate
842974_E01238.pdf,dateof incorporation,real estate
842974_E01238.pdf,HKFRS,real estate
842974_E01238.pdf,the China Real Estate Top 10,real estate
842974_E01238.pdf,REPORTThe Group’s,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited43The Board,real estate
842974_E01238.pdf,PwC. Elite Partners,real estate
842974_E01238.pdf,"Sincere Holding Group Co., Ltd.",finance
842974_E01238.pdf,Suqian Powerlong Property Development Company Limited,real estate
842974_E01238.pdf,"properties1,907,7441,813,970Income",real estate
842974_E01238.pdf,Suqian Powerlong Commercial Property Management Company Limited,real estate
842974_E01238.pdf,The Audit Committee,finance
842974_E01238.pdf,Company,technology
842974_E01238.pdf,"sale13,394,0995,689,711Restricted",finance
842974_E01238.pdf,"HK) Trading Co., Ltd.",real estate
842974_E01238.pdf,Powerlong Amusement Management Company Limited,technology
842974_E01238.pdf,紹興袍江寶龍廣場)Commercial,real estate
842974_E01238.pdf,Hong Kong鵬燁企業管理（香港）有限公司Pengye Enterprise Management,real estate
842974_E01238.pdf,"Hong Kong紹興聚嶸置業有限公司Shaoxing Jurong Property Development Co., Ltd.",real estate
842974_E01238.pdf,KTC Partners CPA Limited,real estate
842974_E01238.pdf,"the GroupTiantai Maolong Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,"companyRMB10,000,00060%40%Property",real estate
842974_E01238.pdf,Shanghai YueshangOn,real estate
842974_E01238.pdf,"LIABILITIESTotal equity49,398,67955,318,84062,601,59462,407,45251,801,166LiabilitiesNon-",real estate
842974_E01238.pdf,Company,banking
842974_E01238.pdf,"Haohu Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,"the GroupShanghai Mijie Property Management Co., Ltd.",technology
842974_E01238.pdf,HK) Trading Co.,technology
842974_E01238.pdf,the Board,real estate
842974_E01238.pdf,"the Controlling ShareholderShanghai Yueshang Information Technology Co., Ltd.",technology
842974_E01238.pdf,"the GroupShanghai Taoxia Enterprise Management Co., Ltd.",real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS41,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings,finance
842974_E01238.pdf,Beijing Capital Grand Limited,technology
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS6,real estate
842974_E01238.pdf,MANAGEMENT36Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,Related Party Transactions,real estate
842974_E01238.pdf,the Commercial Real Estate Industry,real estate
842974_E01238.pdf,the GroupPowerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,China Celebrities Achievement Award,real estate
842974_E01238.pdf,Working Group on Professional Services under Economic Development Commission,finance
842974_E01238.pdf,SIGNIFICANCEThere,real estate
842974_E01238.pdf,Shanghai University of Finance and Economics,finance
842974_E01238.pdf,Influential Entrepreneur,real estate
842974_E01238.pdf,"the GroupShanghai Xiafeng Enterprise Management Co., Ltd.",real estate
842974_E01238.pdf,"net(1,994,601)Loss",finance
842974_E01238.pdf,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT,real estate
842974_E01238.pdf,"Shanghai Yueshang Information Technology Co., Ltd.",technology
842974_E01238.pdf,Zhongliang Property Development Co.,real estate
842974_E01238.pdf,Luso International Banking Limited,banking
842974_E01238.pdf,Ansteel Group Corporation Limited,real estate
842974_E01238.pdf,CODM,real estate
842974_E01238.pdf,Jinlong Industrial Development Co.,real estate
842974_E01238.pdf,Shanghai Forte Land Company Limited,real estate
842974_E01238.pdf,"5,495,197)(2,572,018)1,450,5627,196,3388,934,214",finance
842974_E01238.pdf,ChinaARTELS+,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings,technology
842974_E01238.pdf,the Consolidated Financial Statements 78Five-year,real estate
842974_E01238.pdf,"year(1,012,885)Withdrawal",real estate
842974_E01238.pdf,the PRC上海寶龍芳駿房地產開發有限公司Shanghai Powerlong Fangjun Real Estate Development Co.,real estate
842974_E01238.pdf,ANALYSISNet Gearing RatioAs,real estate
842974_E01238.pdf,the “Board,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS15,real estate
842974_E01238.pdf,the China Real Estate Association,real estate
842974_E01238.pdf,Luso Bank,banking
842974_E01238.pdf,Land Lot Project,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS9,finance
842974_E01238.pdf,"Jiayi Real Estate Co., Ltd.",real estate
842974_E01238.pdf,Powerlong Real Estate Holdings LimitedFIVE-YEAR FINANCIAL SUMMARY175CONSOLIDATED BALANCE,real estate
842974_E01238.pdf,"follows:31 December20242023RMB’000RMB’000Segment assets178,190,217200,285,208Other",real estate
842974_E01238.pdf,the industry.06Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,University of Wolverhampton,finance
842974_E01238.pdf,government.20 SHARE CAPITAL Number,real estate
842974_E01238.pdf,China Real Estate Chamber of Commerce,real estate
842974_E01238.pdf,ChinaRadisson Blu ShanghaiPudong JinqiaoOpening Date,real estate
842974_E01238.pdf,award schemesPowerlong Commercial Management Holding Limited,real estate
842974_E01238.pdf,the PRC蚌埠寶龍置業有限公司Bengbu Powerlong Property Development Co.,real estate
842974_E01238.pdf,JUDGEMENTS,real estate
842974_E01238.pdf,Ningbo Youngor,technology
842974_E01238.pdf,Xiamen Powerlong Group,real estate
842974_E01238.pdf,andresidentialpropertymanagementOtherpropertydevelopmentrelatedbusinessesGroupRMB’000RMB’000RMB’000RMB’000RMB’000Gross,real estate
842974_E01238.pdf,Kangrui Real Estate Development Co.,real estate
842974_E01238.pdf,follows:31 December20242023RMB’000RMB’000Current income tax,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT OF CASH,real estate
842974_E01238.pdf,"individualsRMB800,001",real estate
842974_E01238.pdf,the Company and Elite Partners CPA Limited,real estate
842974_E01238.pdf,"net4,007,038–––4,007,038Share",real estate
842974_E01238.pdf,LeasebackAmendments,real estate
842974_E01238.pdf,"the GroupShanghai Baoshen Digital Technology Co., Ltd.",technology
842974_E01238.pdf,Group,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS26,real estate
842974_E01238.pdf,62Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,HKAS,real estate
842974_E01238.pdf,"associates4,074,7734,003,3828,565,4499,563,660Powerlong Real Estate Holdings Limited",real estate
842974_E01238.pdf,China Communications Construction Company Limited,technology
842974_E01238.pdf,"liabilitycompanyRMB1,000,000,000100%–Property",real estate
842974_E01238.pdf,the “Digitalization Services,technology
842974_E01238.pdf,"HK$7,165,0947,703,634",real estate
842974_E01238.pdf,"the GroupShanghai Hukang Property Management Co., Ltd.",real estate
842974_E01238.pdf,Powerlong Real Estate Holdings LimitedDIRECTORSExecutive,real estate
842974_E01238.pdf,"services2,386,6942,267,433Income",finance
842974_E01238.pdf,Hong Kong Institute of Certified Public Accountants,finance
842974_E01238.pdf,"Powerlong Information Industry Co., Ltd.",technology
842974_E01238.pdf,Powerlong Real Estate Holdings Limited(incorporated,real estate
842974_E01238.pdf,Princeton University,finance
842974_E01238.pdf,Ministry of Finance,finance
842974_E01238.pdf,interestsTotal,real estate
842974_E01238.pdf,Powerlong Kangjun Property Development Co.,real estate
842974_E01238.pdf,"the GroupNanjing Baomao Real Estate Co., Ltd. 南京寶茂置業有限公司Associate",real estate
842974_E01238.pdf,China Commercial Property Industry Leader,real estate
842974_E01238.pdf,Powerlong Trading Co.,real estate
842974_E01238.pdf,"companyRMB1,000,00071%29%Property",real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL,real estate
842974_E01238.pdf,the Group for,real estate
842974_E01238.pdf,"the GroupQingdao Hailong Yilian Real Estate Co., Ltd.",technology
842974_E01238.pdf,HKFRS,finance
842974_E01238.pdf,"TusHoldings Co., Ltd.",finance
842974_E01238.pdf,"corporation597,568,00014.43%Sky Infinity Holdings Limited",real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS36 FINANCIAL GUARANTEE,real estate
842974_E01238.pdf,"properties1,907,7441,813,970Income",finance
842974_E01238.pdf,China Commercial Real Estate Industry Outstanding Contribution Award,real estate
842974_E01238.pdf,HSBC,real estate
842974_E01238.pdf,"RMB2,653",real estate
842974_E01238.pdf,SFO,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited41DIRECTORS,real estate
842974_E01238.pdf,宿遷寶龍商業物業管理有限公司,real estate
842974_E01238.pdf,"Tianqu Real Estate Co., Ltd.",real estate
842974_E01238.pdf,the Hong Kong Polytechnic University,finance
842974_E01238.pdf,"Commercial367,7743,2008,701Residential1,451,41717,34311,949",real estate
842974_E01238.pdf,below:31 December20242023RMB’000RMB’000Investments,real estate
842974_E01238.pdf,Shanghai Banking Corporation Limited,banking
842974_E01238.pdf,ChinaHotel W XiamenOpening Date,real estate
842974_E01238.pdf,ANALYSISBUSINESS REVIEWFor,real estate
842974_E01238.pdf,the Group for the year ended 31 December 2024,real estate
842974_E01238.pdf,111Annual Report,real estate
842974_E01238.pdf,"China Minsheng Banking Corp., Ltd.",banking
842974_E01238.pdf,continued)Awards,real estate
842974_E01238.pdf,"TusHoldings Co., Ltd.",technology
842974_E01238.pdf,GroupNingbo,real estate
842974_E01238.pdf,Macau Branch,banking
842974_E01238.pdf,"Real Estate Co., Ltd.",real estate
842974_E01238.pdf,The Bank of East Asia Limited,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited,finance
842974_E01238.pdf,All-China Federation of Returned Overseas Chinese,real estate
842974_E01238.pdf,"equipment193,205115,110 Proceeds",real estate
842974_E01238.pdf,Powerlong Industrial Development Co.,real estate
842974_E01238.pdf,New York University,finance
842974_E01238.pdf,non-controllinginterestsTransaction,real estate
842974_E01238.pdf,Shanghai YueshangOn,technology
842974_E01238.pdf,Wuhan Caidian,real estate
842974_E01238.pdf,the Fujian Youth Federation,real estate
842974_E01238.pdf,"Powerlong Real Estate Co., Ltd.",real estate
842974_E01238.pdf,China Overseas Friendship Association,real estate
842974_E01238.pdf,Residential Property Management ServicesFor,real estate
842974_E01238.pdf,Powerlong Xinghui Enterprise Management Co.,real estate
842974_E01238.pdf,Company,real estate
842974_E01238.pdf,MALLFUJIAN PROVINCE21Annual Report,real estate
842974_E01238.pdf,Board,real estate
842974_E01238.pdf,"Huayi Real Estate Co., Ltd.",technology
842974_E01238.pdf,Ministry of Housing and Urban-Rural Development,real estate
842974_E01238.pdf,treasury,real estate
842974_E01238.pdf,Investments,real estate
842974_E01238.pdf,CONTINUED)NamePlace,real estate
842974_E01238.pdf,Powerlong Real Estate Management Co.,real estate
842974_E01238.pdf,Shanghai Jiashang Digital Technology Company Limited,technology
842974_E01238.pdf,"Sincere Holding Group Co., Ltd.",technology
842974_E01238.pdf,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT OF COMPREHENSIVE INCOMEYear,real estate
842974_E01238.pdf,ChinaJUNTELS Binjiang HangzhouOpening,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited33MANAGEMENT,real estate
842974_E01238.pdf,Cayman) Ltd.,real estate
842974_E01238.pdf,"Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,Real Estate Development Co.,real estate
842974_E01238.pdf,Real Estate Holdings Limited,real estate
842974_E01238.pdf,CONTINUED)(a,real estate
842974_E01238.pdf,60Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,Zhenro Properties Group Limited,real estate
842974_E01238.pdf,the Real Estate Industry,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited45CORPORATE GOVERNANCE REPORTNomination Policy and Process for Nominating DirectorsThe Company,real estate
842974_E01238.pdf,Xiamen Powerlong Group,finance
842974_E01238.pdf,Shanghai Tongji University,real estate
842974_E01238.pdf,ANALYSISLosses,real estate
842974_E01238.pdf,CONSOLIDATED FINANCIAL STATEMENTS5,real estate
842974_E01238.pdf,Holdings Limited,real estate
842974_E01238.pdf,the GroupPowerlong Golden Wheel Coral Company Limited,real estate
842974_E01238.pdf,"net4,007,038–––4,007,038Share",finance
842974_E01238.pdf,LeasebackAmendments,finance
842974_E01238.pdf,Jingyi Industrial Co.,real estate
842974_E01238.pdf,HKAS,finance
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS2 BASIS,real estate
842974_E01238.pdf,Requisition,real estate
842974_E01238.pdf,The Supervisory Department,finance
842974_E01238.pdf,"Shanghai Yueshang Information Technology Co., Ltd.",real estate
842974_E01238.pdf,2020)Amendments,real estate
842974_E01238.pdf,CHINAOVERVIEW,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings LimitedCONSOLIDATED,real estate
842974_E01238.pdf,"Boee Real Estate Group Co., Ltd.",real estate
842974_E01238.pdf,"borrowings235,5523,329,483Repayments",real estate
842974_E01238.pdf,TravelSky Technology Limited,technology
842974_E01238.pdf,HKAS 7,real estate
842974_E01238.pdf,CostTotal,real estate
842974_E01238.pdf,"the GroupShanghai Baozhan Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,Tianjin Powerlong City Company,real estate
842974_E01238.pdf,"the GroupQuanzhou Shangquan Industrial Development Co., Ltd.",real estate
842974_E01238.pdf,the PRC淮安德百信置業有限公司Huaian Debaixin Property Development Co.,real estate
842974_E01238.pdf,the Company for the year,finance
842974_E01238.pdf,Province/municipalityProjectTypeTotal GFA Properties,real estate
842974_E01238.pdf,Longrui Real Estate Development Co.,real estate
842974_E01238.pdf,the Stock Exchange,real estate
842974_E01238.pdf,Andrews University of Michigan,finance
842974_E01238.pdf,Bank of Communications,real estate
842974_E01238.pdf,FINANCIAL RISK MANAGEMENTThe Group’s,real estate
842974_E01238.pdf,CHAIRMAN’SSTATEMENT04Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,HOI WA,real estate
842974_E01238.pdf,Ningbo Youngor,real estate
842974_E01238.pdf,Yuanda Industrial Investment Co.,real estate
842974_E01238.pdf,Powerlong Real Estate Development Co.,real estate
842974_E01238.pdf,Family Limited,real estate
842974_E01238.pdf,Shangsheng Management Consulting Co.,real estate
842974_E01238.pdf,Business Administration,finance
842974_E01238.pdf,"the GroupShanghai Baoshen Digital Technology Co., Ltd.",real estate
842974_E01238.pdf,KTC,real estate
842974_E01238.pdf,the “Group,real estate
842974_E01238.pdf,deliveredAmount,real estate
842974_E01238.pdf,Powerlong Real Estate (BVI) Holdings Limited,real estate
842974_E01238.pdf,"the GroupTianjin Shunji Real Estate Development Co., Ltd. 天津順集置業有限公司Joint",real estate
842974_E01238.pdf,Finance Expert Consultants,finance
842974_E01238.pdf,"notes34,350",real estate
842974_E01238.pdf,CovenantsAmendments,real estate
842974_E01238.pdf,CONSOLIDATED FINANCIAL STATEMENTS5 SEGMENT INFORMATIONThe,real estate
842974_E01238.pdf,the PRC鹽城寶龍置業發展有限公司Yancheng Powerlong Property Development Co.,real estate
842974_E01238.pdf,Walong Holdings Limited,real estate
842974_E01238.pdf,BaWang International (Group) Holding Limited,technology
842974_E01238.pdf,China Real Estate Listed Companies,real estate
842974_E01238.pdf,Sincere Property Holding Group,finance
842974_E01238.pdf,the Qualification and Examinations Board of HKICPA,finance
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS28,real estate
842974_E01238.pdf,Perpetual Capital,finance
842974_E01238.pdf,"liabilities192,016,874214,805,819233,750,678245,056,453195,131,513",real estate
842974_E01238.pdf,"GroupSuzhou Macalline Real Estate Co., Ltd",real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited55CORPORATE GOVERNANCE REPORTThe Company,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited51CORPORATE,real estate
842974_E01238.pdf,"the GroupChangshu Shibao Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,Powerlong Property Development Co.,real estate
842974_E01238.pdf,Shanghai Yueshang,technology
842974_E01238.pdf,Fudan University,real estate
842974_E01238.pdf,the Chinese People’s Political Consultative Conference of Shanghai,real estate
842974_E01238.pdf,Going ConcernThe Company’s,real estate
842974_E01238.pdf,Longyao industrial Co.,real estate
842974_E01238.pdf,Jukai Enterprise Management Co.,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS24,real estate
842974_E01238.pdf,"840,174)(917,201)Repayments",real estate
842974_E01238.pdf,"the GroupShanghai Hubang Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,Board,finance
842974_E01238.pdf,"the PRC上海寶龍實業發展（集團）有限公司Shanghai Powerlong Industrial Development (Group) Co., Ltd.",real estate
842974_E01238.pdf,"the GroupZhejiang Huzhou Baohui Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,Hong Kong Institute of Certified Public Accountants,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS1,real estate
842974_E01238.pdf,assets(148)(608)Payments,real estate
842974_E01238.pdf,"The Bank of East Asia, Limited",banking
842974_E01238.pdf,CONTINUED)(a,finance
842974_E01238.pdf,鞍鋼集團有限公司,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited29MANAGEMENT,real estate
842974_E01238.pdf,"corporation1,825,071,00044.08%Skylong Holdings Limited",real estate
842974_E01238.pdf,CONTINUED)3.2 Capital risk managementThe Group,real estate
842974_E01238.pdf,LimitedCertified Public,banking
842974_E01238.pdf,the Building of Socialism,real estate
842974_E01238.pdf,The Bank of East Asia Limited,banking
842974_E01238.pdf,continued)Lease,finance
842974_E01238.pdf,7.The Group,real estate
842974_E01238.pdf,CONSOLIDATED FINANCIAL STATEMENTS5,finance
842974_E01238.pdf,HKAS 1Non,real estate
842974_E01238.pdf,DirectorsNumber,real estate
842974_E01238.pdf,中國公益事業特別貢獻獎,real estate
842974_E01238.pdf,Jiayu Property Development Co.,real estate
842974_E01238.pdf,南昌高新項目)Commercial,real estate
842974_E01238.pdf,Charity Special Contribution Award of China,real estate
842974_E01238.pdf,Baoqian Commercial Management Co.,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS2 BASIS,finance
842974_E01238.pdf,"Holdings LimitedBeneficial owner249,523,0006.03%Walong Holdings LimitedBeneficial",real estate
842974_E01238.pdf,"Baoming Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,"tax––––(1,769)––(1,769)Share",real estate
842974_E01238.pdf,"the GroupShanghai Mijie Property Management Co., Ltd.",real estate
842974_E01238.pdf,"Dalian Wanda Group Co., Ltd.",finance
842974_E01238.pdf,2020)Amendments,finance
842974_E01238.pdf,NamePlace,real estate
842974_E01238.pdf,DONATIONSCharitable,real estate
842974_E01238.pdf,subsidiaries–––(47)(219)–(266)Depreciation/amortisation,real estate
842974_E01238.pdf,HKAS 7,finance
842974_E01238.pdf,"Huayi Real Estate Co., Ltd.",real estate
842974_E01238.pdf,andresidentialpropertymanagementOtherpropertydevelopmentrelatedbusinessesGroupRMB’000RMB’000RMB’000RMB’000RMB’000Gross,finance
842974_E01238.pdf,"Hoin Real Estate Co., Ltd.",real estate
842974_E01238.pdf,"Juhang Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,meetingsNotices,real estate
842974_E01238.pdf,2019Limited,real estate
842974_E01238.pdf,Controlling ShareholderQingdao Powerlong Amusement Management Company Limited,technology
842974_E01238.pdf,operations上海瑞龍投資管理有限公司Shanghai Ruilong Investment Management Co.,real estate
842974_E01238.pdf,"associates764,0501,373,057",real estate
842974_E01238.pdf,Corporate Finance,finance
842974_E01238.pdf,"sale13,394,0995,689,711Restricted",real estate
842974_E01238.pdf,Infinity Family Limited,real estate
842974_E01238.pdf,Suzhou Powerlong Real Estate Development Company Limited,real estate
842974_E01238.pdf,"China Real Estate Information Group Co., Ltd",real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,Group,finance
842974_E01238.pdf,"GroupHangzhou Juyou Enterprise Management Co., Ltd.",real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited39DIRECTORS,real estate
842974_E01238.pdf,needs;(d,finance
842974_E01238.pdf,Land Lot Shuoyuan,real estate
842974_E01238.pdf,上海市政協委員,real estate
842974_E01238.pdf,"HK$7,165,0947,703,634",finance
842974_E01238.pdf,the Audit Committee,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS34,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited27,real estate
842974_E01238.pdf,LimitedCertified Public Accountants,real estate
842974_E01238.pdf,the PRC鹽城御龍置業有限公司Yancheng Yulong Property Development Co.,real estate
842974_E01238.pdf,Limited,technology
842974_E01238.pdf,CompanyShare,real estate
842974_E01238.pdf,Baoxin Real Estate Development Co.,real estate
842974_E01238.pdf,the GroupBaohui Real Estate (Hong Kong,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings,real estate
842974_E01238.pdf,GroupQuanzhou,real estate
842974_E01238.pdf,Sheraton,real estate
842974_E01238.pdf,operations珠海寶龍置業有限公司Zhuhai Powerlong Property Development Co.,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL,finance
842974_E01238.pdf,202104Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,China Real Estate Achiever,real estate
842974_E01238.pdf,Shinsun Real Estate Holding Group Limited,real estate
842974_E01238.pdf,PricewaterhouseCoopers,real estate
842974_E01238.pdf,CovenantsAmendments,finance
842974_E01238.pdf,Hong Kong洪誠企業管理（香港）有限公司Hongcheng Enterprise Management,real estate
842974_E01238.pdf,Management,finance
842974_E01238.pdf,Property Development Co.,real estate
842974_E01238.pdf,"Mileage Real Estate Co., Ltd.",real estate
842974_E01238.pdf,Group,technology
842974_E01238.pdf,the East China Normal University,real estate
842974_E01238.pdf,"net(1,994,601)Loss",real estate
842974_E01238.pdf,the PRC青島寶龍房地產發展有限公司Qingdao Powerlong Real Estate Development Co.,real estate
842974_E01238.pdf,LAT,real estate
842974_E01238.pdf,Cheung Kong Graduate School of Business,finance
842974_E01238.pdf,the Board of Directors,real estate
842974_E01238.pdf,Tianyu Real Estate Company,real estate
842974_E01238.pdf,INFORMATIONPowerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,Fudan University,finance
842974_E01238.pdf,"subsidiaries6,306,8636,306,863Amounts",real estate
842974_E01238.pdf,南昌九龍湖項目)Commercial,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS25,real estate
842974_E01238.pdf,the Nomination Committee,real estate
